Unnamed: 0_x,uuid,age,age_group,gender,dem_has_children,country,country_code,Unnamed: 0_y,rural,Unnamed: 0_x,question_bbi_2016wave4_basicincome_awareness,question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_effect,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst,dem_education_level,dem_full_time_job,normalized_job_code,Unnamed: 0_y,job_name
2617,cce4faa0-d9b4-0133-d45f-0a81e8b09a82,2000,14_25,Female,no,Spain,ES,2617,rural,2617,I have never heard of it,I would probably vote against it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,medium,no,,0,
2618,9c46d1b0-dcbb-0133-16f4-0a81e8b09a82,32 years old,26_39,Female,yes,Spain,ES,2618,Non-Rural,2618,I have heard just a little about it,I would vote for it,‰Û_ work as a freelancer,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state,medium,yes,7bb15eefb19ed09c59349baad7e8469e,48,database coordinator
2619,d63eba60-da5c-0133-147e-0a81e8b09a82,42 years old,40_65,Male,no,Spain,ES,2619,city,2619,I have heard just a little about it,I would probably vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working,high,yes,b36bc5f02fd641a126df999bcefa2777,115,data technician
2620,90475050-d8e7-0133-bf64-0a81e8b09a82,1997,14_25,Male,no,Spain,ES,2620,rural,2620,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It increases dependence on the state,low,no,,0,
2621,c00f64a0-d99e-0133-98a9-0a81e8b09a82,63 years old,40_65,Male,yes,Spain,ES,2621,city,2621,I understand it fully,I would vote for it,None of the above,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity",None of the above,high,no,,0,
2622,10b1a7e0-da31-0133-ad5e-0a81e8b09a82,39 years old,26_39,Female,yes,Spain,ES,2622,Non-Rural,2622,I have heard just a little about it,I would probably vote against it,‰Û_ look for a different job,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state,medium,no,,0,
2623,c22d4540-d8de-0133-5fef-0a81e8b09a82,56 years old,40_65,Female,yes,Spain,ES,2623,countryside,2623,I have heard just a little about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,It increases dependence on the state,low,no,,0,
2624,bd0f63e0-d99a-0133-ab38-0a81e8b09a82,55 years old,40_65,Female,no,Spain,ES,2624,urban,2624,I know something about it,I would vote for it,‰Û_ do more volunteering work,It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,low,no,,0,
2625,a33534a0-dcd8-0133-55b8-0a81e8b09a82,59 years old,40_65,Female,yes,Spain,ES,2625,urban,2625,I have heard just a little about it,I would not vote,None of the above,It creates more equality of opportunity,None of the above,medium,yes,a33662485eb4ad97096183db945308f4,76,automatic data processing planner adp planner
2626,96846d20-d930-0133-3e44-0a81e8b09a82,1996,juvenile,Male,no,Spain,ES,2626,urban,2626,I have never heard of it,I would vote for it,‰Û_ work less,It creates more equality of opportunity,It might encourage people to stop working,high,no,,0,
2627,183e0a40-daf4-0133-b5d6-0a81e8b09a82,50 years old,40_65,Female,yes,Spain,ES,2627,urban,2627,I know something about it,I would vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state,medium,no,,0,
2628,76e32950-da39-0133-569f-0a81e8b09a82,45 years old,40_65,Male,yes,Spain,ES,2628,urban,2628,I know something about it,I would probably vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It is impossible to finance | It is against the principle of linking merit and reward,high,yes,049a3f3a2b5f85cb2971ba77ad66e10c,2,data coordinator
2629,7d9bfd80-d92b-0133-3907-0a81e8b09a82,46 years old,40_65,Male,yes,Spain,ES,2629,city,2629,I understand it fully,I would vote against it,‰Û_ work less,None of the above,It might encourage people to stop working | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,high,yes,16b67d7f57698455aefbc1ae1b358b50,20,database engineer
2630,f56715a0-dc0a-0133-8a49-0a81e8b09a82,45 years old,40_65,Female,no,Spain,ES,2630,rural,2630,I know something about it,I would vote for it,‰Û_ spend more time with my family,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state,low,no,,0,
2631,39c391f0-d95c-0133-6236-0a81e8b09a82,1987,26_39,Male,yes,Spain,ES,2631,urban,2631,I know something about it,I would vote for it,‰Û_ gain additional skills,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility",It might encourage people to stop working | It increases dependence on the state,high,yes,bdf4dcd92089bc17345de83f4d06090f,148,data entry operator
2632,8d54eaf0-d8d0-0133-5761-0a81e8b09a82,1992,juvenile,Male,no,Spain,ES,2632,urban,2632,I know something about it,I would vote for it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state,high,no,,0,
2633,36bda070-da20-0133-fe88-0a81e8b09a82,1990,26_39,Female,yes,Spain,ES,2633,Country,2633,I know something about it,I would probably vote for it,‰Û_ look for a different job,It creates more equality of opportunity | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
2634,66880a90-d8b5-0133-ff21-0a81e8b09a82,45 years old,40_65,Male,yes,Spain,ES,2634,city,2634,I have heard just a little about it,I would probably vote against it,‰Û_ work as a freelancer,It increases appreciation for household work and volunteering,It is impossible to finance,high,yes,1f8576bdffa64f492405d02b842c41a6,50,data management associate
2635,29488d30-d8c4-0133-83b3-0a81e8b09a82,52 years old,40_65,Male,no,Spain,ES,2635,Country,2635,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,low,yes,7bb15eefb19ed09c59349baad7e8469e,48,database coordinator
2636,872d1f80-da23-0133-edd0-0a81e8b09a82,40 years old,40_65,Male,no,Spain,ES,2636,city,2636,I know something about it,I would probably vote for it,‰Û_ gain additional skills,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It increases dependence on the state | Only the people who need it most should get something from the state,high,yes,90c5430dbc810aec8695af2f1f4c42e8,47,electronic data processing auditor edp auditor
2637,0b8e8c30-da0b-0133-256a-0a81e8b09a82,42 years old,40_65,Male,yes,Spain,ES,2637,Non-Rural,2637,I have never heard of it,I would not vote,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,low,yes,65b92572bca68ff9c49c930749fa348c,141,lidar data analyst
2638,39de8420-d8d7-0133-1c31-0a81e8b09a82,1997,14_25,Male,no,Spain,ES,2638,urban,2638,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It increases dependence on the state | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
2639,f49a9550-d956-0133-8cec-0a81e8b09a82,1990,26_39,Male,no,Spain,ES,2639,urban,2639,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward,high,yes,2ca138b991c50dc6696238e5ad800142,25,database software technician
2640,5d9258b0-d9b1-0133-0176-0a81e8b09a82,38 years old,26_39,Female,yes,Spain,ES,2640,Non-Rural,2640,I understand it fully,I would vote against it,‰Û_ work less,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state,high,yes,004431b0c1ce29ff6145307fa23f3f98,99,data reduction technician
2641,2c682520-d965-0133-479e-0a81e8b09a82,1991,14_25,Male,no,Spain,ES,2641,city,2641,I have heard just a little about it,I would vote for it,‰Û_ look for a different job,It creates more equality of opportunity,It is impossible to finance,low,no,,0,
2642,d3a36700-d8ad-0133-6e9b-0a81e8b09a82,43 years old,40_65,Male,yes,Spain,ES,2642,urban,2642,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state,high,yes,d71c4164c99a5f9bca773e755a72f40f,6,geographic information systems database administrator gis database administrator
2643,90b5ee00-daed-0133-0b1c-0a81e8b09a82,43 years old,40_65,Female,yes,Spain,ES,2643,Country,2643,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering,It is impossible to finance,medium,yes,897ef18a9321616495831a4b4b0c1bb2,8,data communications software consultant
2644,159df030-d90e-0133-c2a0-0a81e8b09a82,1999,juvenile,Male,no,Spain,ES,2644,Country,2644,I understand it fully,I would probably vote for it,‰Û_ work as a freelancer,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state,low,no,,0,
2645,f77a7770-da4a-0133-233c-0a81e8b09a82,47 years old,40_65,Female,yes,Spain,ES,2645,city,2645,I have never heard of it,I would vote for it,‰Û_ do more volunteering work,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,medium,no,,0,
2646,b76ebf40-d957-0133-6611-0a81e8b09a82,1990,26_39,Male,yes,Spain,ES,2646,city,2646,I understand it fully,I would vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state | It is impossible to finance | Only the people who need it most should get something from the state,high,yes,d4624ed8068d24948e18303212593cd6,53,data architect
2647,73ffe620-d977-0133-0b21-0a81e8b09a82,1988,26_39,Female,no,Spain,ES,2647,rural,2647,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,medium,no,,0,
2648,47f9a0a0-d8e0-0133-afca-0a81e8b09a82,1987,26_39,Female,yes,Spain,ES,2648,city,2648,I have heard just a little about it,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,It is impossible to finance,low,no,,0,
2649,cdc61280-d973-0133-fbca-0a81e8b09a82,1987,26_39,Male,no,Spain,ES,2649,rural,2649,I understand it fully,I would vote for it,‰Û_ do more volunteering work,It encourages financial independence and self-responsibility,It is impossible to finance,low,no,,0,
2650,054eae00-dbe2-0133-ff3d-0a81e8b09a82,40 years old,40_65,Female,yes,Spain,ES,2650,rural,2650,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance,high,yes,c1b670eba9ccb65e7c99f7da116d5b9c,5,database architect
2651,d0cd01d0-da4e-0133-eca6-0a81e8b09a82,46 years old,40_65,Male,yes,Spain,ES,2651,urban,2651,I know something about it,I would vote for it,None of the above,It reduces anxiety about financing basic needs | It creates more equality of opportunity,None of the above,low,no,,0,
2652,81249a20-dcce-0133-030c-0a81e8b09a82,48 years old,40_65,Female,yes,Spain,ES,2652,urban,2652,I have heard just a little about it,I would vote against it,‰Û_ look for a different job,None of the above,Only the people who need it most should get something from the state,medium,no,,0,
2653,54bcf240-d997-0133-75a8-0a81e8b09a82,1988,26_39,Female,yes,Spain,ES,2653,urban,2653,I have never heard of it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",Only the people who need it most should get something from the state,medium,no,,0,
2654,d0d3f310-d93f-0133-c383-0a81e8b09a82,41 years old,40_65,Female,no,Spain,ES,2654,city,2654,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state | It increases dependence on the state | It might encourage people to stop working,high,yes,77d124811ae6887bd4ff42b0e2b49116,92,data warehouse architect
2655,bdc136a0-d8e8-0133-c286-0a81e8b09a82,2001,14_25,Male,no,Spain,ES,2655,urban,2655,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
2656,e48acd10-da1e-0133-f969-0a81e8b09a82,35 years old,26_39,Female,yes,Spain,ES,2656,city,2656,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,None of the above,It might encourage people to stop working,,yes,38a15ceadcdd6d4db16a88fa1a72b083,58,data warehouse analyst
2657,3a515590-d9c8-0133-02ee-0a81e8b09a82,1997,14_25,Female,no,Spain,ES,2657,urban,2657,I have heard just a little about it,I would not vote,‰Û_ look for a different job,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It creates more equality of opportunity",It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,high,no,,0,
2658,6df87320-d976-0133-073c-0a81e8b09a82,1986,26_39,Male,no,Spain,ES,2658,urban,2658,I understand it fully,I would vote for it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working,medium,yes,41ba88cfd476ee8d5e3d9f7cea62f051,79,data recovery planner
2659,a7910000-da31-0133-afff-0a81e8b09a82,1986,26_39,Female,yes,Spain,ES,2659,Country,2659,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
2660,eb04a030-dbdc-0133-472b-0a81e8b09a82,40 years old,40_65,Female,no,Spain,ES,2660,city,2660,I understand it fully,I would vote for it,‰Û_ look for a different job,It creates more equality of opportunity | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state,high,yes,800b621aab5dac18f4caef621fa43a49,31,data systems manager
2661,193556b0-d996-0133-70a5-0a81e8b09a82,46 years old,40_65,Male,yes,Spain,ES,2661,Non-Rural,2661,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state,high,no,,0,
2662,ca1e7aa0-d8e9-0133-9a94-0a81e8b09a82,1996,14_25,Male,no,Spain,ES,2662,rural,2662,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
2663,4048b4d0-da4e-0133-40ec-0a81e8b09a82,43 years old,40_65,Male,yes,Spain,ES,2663,city,2663,I understand it fully,I would vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,It is impossible to finance,high,no,,0,
2664,9b9d43b0-da27-0133-6fa7-0a81e8b09a82,48 years old,40_65,Male,yes,Spain,ES,2664,Non-Rural,2664,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,high,yes,fd69391dc29c83d5ad744daa57de0175,119,data transcriber
2665,05e2d5d0-da22-0133-e716-0a81e8b09a82,48 years old,40_65,Male,yes,Spain,ES,2665,urban,2665,I know something about it,I would vote for it,None of the above,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state,high,yes,76385cb24e831b3364279b9de5641d8f,19,automatic data processing systems security specialist adp systems security
2666,94667650-dcb2-0133-9708-0a81e8b09a82,46 years old,40_65,Female,yes,Spain,ES,2666,Non-Rural,2666,I understand it fully,I would probably vote against it,‰Û_ work less,None of the above,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state,high,no,,0,
2667,ab2f1fe0-da8d-0133-cb12-0a81e8b09a82,49 years old,40_65,Female,no,Spain,ES,2667,city,2667,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility,It might encourage people to stop working | Only the people who need it most should get something from the state,low,no,,0,
2668,f22aea60-d975-0133-aff9-0a81e8b09a82,1988,26_39,Male,no,Spain,ES,2668,urban,2668,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is impossible to finance | It increases dependence on the state | It might encourage people to stop working | Only the people who need it most should get something from the state,medium,no,,0,
2669,6b18cdd0-d97d-0133-0c3d-0a81e8b09a82,2001,14_25,Female,no,Spain,ES,2669,urban,2669,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward,low,no,,0,
2670,5c340620-db1f-0133-59d4-0a81e8b09a82,42 years old,40_65,Female,no,Spain,ES,2670,Non-Rural,2670,I understand it fully,I would vote for it,‰Û_ look for a different job,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",It increases dependence on the state,high,no,,0,
2671,676670e0-d8a8-0133-6614-0a81e8b09a82,43 years old,40_65,Female,no,Spain,ES,2671,urban,2671,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working,high,yes,dac2e921c1f887d9efc4c06fa33c1397,15,automatic data processing customer liaison adp customer liaison
2672,94bde940-da5c-0133-1240-0a81e8b09a82,57 years old,40_65,Female,no,Spain,ES,2672,city,2672,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,None of the above,,no,,0,
2673,b1dba2f0-d942-0133-c79a-0a81e8b09a82,45 years old,40_65,Male,yes,Spain,ES,2673,rural,2673,I know something about it,I would probably vote against it,‰Û_ work as a freelancer,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,high,yes,b24ece3300d2f8ab34f9553e531183d6,21,data processing systems project planner
2674,033878f0-d8e8-0133-c0c3-0a81e8b09a82,1998,14_25,Male,no,Spain,ES,2674,urban,2674,I have heard just a little about it,I would probably vote for it,‰Û_ work less,It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,medium,no,,0,
2675,f5772e90-d96b-0133-1a21-0a81e8b09a82,1991,14_25,Male,no,Spain,ES,2675,countryside,2675,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,Only the people who need it most should get something from the state,medium,no,,0,
2676,f857d070-d99c-0133-915b-0a81e8b09a82,45 years old,40_65,Male,yes,Spain,ES,2676,urban,2676,I know something about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,None of the above,low,yes,e7b3e1c6a32c7247cd4857e4c3574165,82,data processing systems analyst
2677,b1db4d00-d964-0133-460a-0a81e8b09a82,53 years old,40_65,Male,no,Spain,ES,2677,urban,2677,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,It increases dependence on the state,high,yes,ac47656fd51c2cd8037057262c910dc4,72,data processing manager
2678,a81df160-d9bc-0133-b978-0a81e8b09a82,44 years old,40_65,Male,yes,Spain,ES,2678,urban,2678,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,medium,yes,141ddda0f613da65a280521247de0e9f,37,data administrator
2679,41db0800-d8d1-0133-5919-0a81e8b09a82,39 years old,26_39,Female,yes,Spain,ES,2679,city,2679,I have heard just a little about it,I would vote against it,‰Û_ work less,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state | It might encourage people to stop working,high,yes,1f8576bdffa64f492405d02b842c41a6,50,data management associate
2680,19c39af0-d91c-0133-2842-0a81e8b09a82,35 years old,26_39,Female,yes,Spain,ES,2680,urban,2680,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility",Only the people who need it most should get something from the state,low,no,,0,
2681,ce82a970-d967-0133-736c-0a81e8b09a82,58 years old,40_65,Male,yes,Spain,ES,2681,rural,2681,I have heard just a little about it,I would probably vote against it,‰Û_ spend more time with my family,None of the above,None of the above,high,yes,76385cb24e831b3364279b9de5641d8f,19,automatic data processing systems security specialist adp systems security
2682,06078130-d902-0133-c6af-0a81e8b09a82,1990,26_39,Male,no,Spain,ES,2682,urban,2682,I know something about it,I would vote for it,‰Û_ do more volunteering work,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state,high,yes,16b49a63ac3fcb90356c30187110ed94,104,data processing auxiliary equipment operator
2683,55615190-d8ce-0133-66ee-0a81e8b09a82,1999,14_25,Male,no,Spain,ES,2683,city,2683,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,It increases dependence on the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
2684,3f105870-d8d2-0133-5c21-0a81e8b09a82,41 years old,40_65,Male,yes,Spain,ES,2684,Non-Rural,2684,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Only the people who need it most should get something from the state | It increases dependence on the state | It is impossible to finance,low,no,,0,
2685,8ea10f10-d95a-0133-5e74-0a81e8b09a82,33 years old,26_39,Male,no,Spain,ES,2685,urban,2685,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,Only the people who need it most should get something from the state,high,no,,0,
2686,f2a10180-d990-0133-5d56-0a81e8b09a82,40 years old,40_65,Male,no,Spain,ES,2686,urban,2686,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state,low,no,,0,
2687,9e55fe60-d9ba-0133-dfc4-0a81e8b09a82,1992,14_25,Female,no,Spain,ES,2687,urban,2687,I understand it fully,I would vote for it,‰Û_ look for a different job,It creates more equality of opportunity,Only the people who need it most should get something from the state,low,yes,f2ecf36d7eb0a4225974fc6c4f48cfcb,138,voice and data technician
2688,b1fdabd0-d960-0133-7cae-0a81e8b09a82,36 years old,26_39,Male,no,Spain,ES,2688,urban,2688,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,high,no,,0,
2689,381c8fd0-da3a-0133-db32-0a81e8b09a82,1989,26_39,Female,yes,Spain,ES,2689,countryside,2689,I understand it fully,I would vote for it,‰Û_ work as a freelancer,"It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",None of the above,medium,no,,0,
2690,20d3b620-d8c9-0133-a169-0a81e8b09a82,1992,14_25,Female,no,Spain,ES,2690,Country,2690,I understand it fully,I would probably vote for it,‰Û_ look for a different job,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state,high,no,,0,
2691,c1f706b0-d968-0133-7680-0a81e8b09a82,1989,26_39,Male,no,Spain,ES,2691,urban,2691,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working,high,no,,0,
2692,c1e42930-da40-0133-ddcc-0a81e8b09a82,51 years old,40_65,Male,no,Spain,ES,2692,urban,2692,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance,medium,yes,a003702c0cea282e17967772dd83de5e,9,data security analyst
2693,20dd69a0-d98b-0133-a3f5-0a81e8b09a82,49 years old,40_65,Female,no,Spain,ES,2693,urban,2693,I understand it fully,I would probably vote against it,‰Û_ do more volunteering work,None of the above,It might encourage people to stop working,medium,yes,7bb15eefb19ed09c59349baad7e8469e,48,database coordinator
2694,425bcb00-dcdc-0133-7508-0a81e8b09a82,43 years old,40_65,Female,no,Spain,ES,2694,urban,2694,I have never heard of it,I would not vote,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state,high,yes,800b621aab5dac18f4caef621fa43a49,31,data systems manager
2695,13fbb790-d9b7-0133-9a04-0a81e8b09a82,32 years old,26_39,Female,yes,Spain,ES,2695,city,2695,I understand it fully,I would vote against it,‰Û_ stop working,None of the above,It is impossible to finance,high,yes,775190277a849cba701b306a7b374c0a,26,data officer
2696,ff6219a0-da28-0133-75f4-0a81e8b09a82,1991,14_25,Female,yes,Spain,ES,2696,city,2696,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It is impossible to finance,high,yes,36675c937946c8a4fc5de7d0b4c850de,23,data warehousing engineer
2697,f5e6ffa0-da5b-0133-0da9-0a81e8b09a82,55 years old,40_65,Male,no,Spain,ES,2697,Country,2697,I understand it fully,I would vote for it,‰Û_ stop working,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,medium,yes,e605336f5a43949cb6b18054fd1937f1,30,database security expert
2698,824e3a90-d964-0133-454b-0a81e8b09a82,1992,14_25,Female,no,Spain,ES,2698,urban,2698,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance,high,no,,0,
